Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(single loop)
100,0.002755,0.0005415,0.005198,0.0008862,0.001251
200,0.02254,0.006068,0.00998,0.007339,0.02667
300,0.07444,0.01515,0.01141,0.01607,0.1725
400,0.1769,0.03616,0.02408,0.04256,0.144
500,0.3458,0.07862,0.05213,0.0531,0.07612
600,0.597,0.136,0.08559,0.1025,0.1359
700,0.9466,0.2461,0.153,0.1512,0.2289
800,1.421,0.3811,0.2475,0.2255,0.4109
900,2.024,0.5778,0.4016,0.3795,0.6131
1000,1.909,0.6781,0.5333,0.4188,0.7045
1100,2.454,0.922,0.6235,0.6416,0.935
1200,3.174,1.23,0.8349,0.8288,1.301
1300,4.033,1.646,1.153,1.213,1.629
1400,7.56,2.456,1.785,1.721,2.539
1500,7.699,2.5,2.486,2.106,4.687
1600,10.68,3.076,2.313,2.352,3.121
1700,13.67,4.45,3.053,3.206,4.626
1800,14.62,4.51,3.468,3.777,5.634
1900,16.69,5.28,4.373,4.674,6.497
2000,22.24,7.405,5.113,5.387,7.641
2100,22.67,7.356,6.178,6.204,8.988
2200,29.6,9.963,6.776,7.06,9.882
2300,33.71,11.85,7.946,8.191,12.52
2400,38.35,13.16,8.949,9.369,13.62
2500,40.79,12.24,10.31,10.67,15.09
2600,48.82,14.41,11.29,12.13,17.16
2700,54.62,18.75,13.21,13.34,18.79
2800,54.12,17.4,14.41,14.61,21.31
2900,67.49,19.59,16.11,16.7,23.52
3000,65.56,21.45,17.63,18.59,26.05
