Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(single loop)
100,0.002717,0.001139,0.00181,0.003132,0.005238
200,1.942,1.402,0.6915,0.6103,0.9766
300,0.07471,0.03093,0.02889,0.04556,0.06056
400,0.178,0.07338,0.05502,0.07364,0.09386
500,0.345,0.1431,0.1264,0.1433,0.1753
600,0.6005,0.2494,0.1674,0.1742,0.2999
700,0.9512,0.3981,0.8321,0.7663,0.6228
800,1.428,0.5955,0.3556,0.4812,0.7808
900,2.033,0.8559,0.5842,0.5557,1.167
1000,2.79,1.18,0.7927,0.8839,1.749
1100,3.698,1.563,1.082,1.141,2.323
1200,4.81,2.038,1.354,1.468,3.024
1300,6.115,2.582,1.67,2.085,3.76
1400,7.632,3.226,2.095,2.432,4.851
1500,9.364,3.986,2.803,2.909,6.185
1600,11.39,4.847,3.258,3.521,7.743
1700,13.66,5.822,3.765,4.166,8.595
1800,16.21,6.88,4.572,4.978,10.85
1900,19.06,8.097,5.21,5.839,12.75
2000,22.24,9.405,6.444,6.924,14.34
2100,25.69,11.05,6.95,7.968,16.26
2200,29.6,12.47,8.133,9.547,19.41
2300,33.78,14.83,9.613,10.53,26.98
2400,38.42,16.29,10.53,12.06,27.01
2500,43.39,18.19,13.13,15.1,28.32
2600,48.73,20.88,13.54,14.64,32.39
2700,54.52,23.67,15.7,16.57,35.83
2800,55.81,20.78,16.66,18.79,43.43
2900,62.16,24.2,18.26,20.85,45.92
3000,70.49,28.15,21.22,21.97,56.46
