Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(single loop)
100,0.002762,0.0191,0.008678,0.1056,0.05195
200,0.02226,0.1788,0.04863,0.08191,0.1644
300,0.0747,0.5243,0.1823,0.2322,0.5755
400,0.1759,1.219,0.387,0.6827,1.173
500,0.3451,2.388,0.7386,1.004,2.18
600,0.5986,4.116,1.332,1.613,3.939
700,0.9514,6.59,2.043,2.604,5.997
800,1.421,9.776,3.017,3.688,8.938
900,2.023,13.92,4.421,5.021,12.95
1000,2.777,19.1,5.979,6.77,20.13
1100,3.694,25.94,7.802,9,24.89
1200,4.801,24.87,10.04,11.78,32.26
1300,6.104,30.12,12.89,14.59,40.54
1400,7.628,37.65,14.53,17.83,50.35
1500,9.373,45.24,19.26,22.28,65.24
1600,10.35,60.36,24.53,26.73,76.12
1700,12.17,69.28,28.16,31.32,92.73
1800,16.15,79.66,34.5,37.36,113.4
1900,18.46,95.43,40.16,44.02,129.7
2000,19.12,122.1,46.71,50.44,154.8
2100,21.87,142.8,54.76,58.58,176.6
2200,25.08,167.9,62.63,66.76,209.6
2300,29.15,190.5,70.62,76.41,262.5
2400,35.83,222.5,81.01,85.27,278.9
2500,38.5,253.5,94.12,96.09,311
2600,32.19,232.5,103.2,108.6,336.7
2700,36.1,248.9,113.9,120,379.6
2800,40.96,277.6,131.2,133.8,443.5
2900,44.86,308.9,141.9,149.6,491.5
3000,49.3,346.3,157.3,163.3,525.9
