Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(collapse),OpenMP(single loop)
100,0.002758,0.0004596,0.006887,0.005786,0.006477,0.006206
200,0.0225,0.003612,0.01705,0.01631,0.01789,0.01927
300,0.07478,0.01195,0.03547,0.03608,0.03492,0.03472
400,0.219,0.04295,0.06942,0.06923,0.06777,0.06892
500,0.4296,0.0697,0.1384,0.1341,0.1803,0.166
600,0.7476,0.2147,0.2409,0.3096,0.2435,0.2299
700,1.185,0.3243,0.3848,0.3686,0.3706,0.3771
800,1.622,0.5358,0.5652,0.5561,0.5604,0.5557
900,2.429,0.8041,0.8082,0.7981,0.8031,0.8635
1000,3.399,1.053,1.175,1.238,1.106,1.109
1100,4.569,1.415,1.615,1.538,1.495,1.551
1200,5.879,1.885,1.918,2.059,1.943,1.98
1300,7.542,2.363,2.607,2.437,2.592,2.439
1400,9.403,3.049,3.103,3.189,3.038,3.178
1500,11.54,3.766,3.883,3.776,3.869,3.873
1600,14.08,4.65,4.694,4.644,4.634,4.694
1700,16.91,5.436,5.576,5.57,5.534,5.563
1800,20.01,6.396,6.666,6.701,6.577,6.584
1900,23.52,7.545,7.812,7.738,7.765,7.782
2000,27.6,8.846,9.011,9.014,9.071,9.077
2100,31.86,10.19,10.42,10.37,10.45,10.57
2200,35.89,11.64,12.06,11.96,11.92,11.94
2300,41.8,13.51,13.55,13.73,13.57,13.7
2400,47.41,15.23,15.5,15.45,15.51,15.59
2500,53.42,17.22,17.45,17.49,17.59,17.54
2600,59.9,19.4,19.48,19.69,19.69,19.87
2700,67.06,21.62,21.95,21.96,21.93,21.96
2800,74.71,24.07,24.55,24.46,24.48,24.53
2900,83.55,26.74,27.13,27.15,27.13,27.06
3000,92.36,29.62,29.86,29.93,30,29.77
