Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(collapse),OpenMP(single loop)
100,0.002755,0.0004568,0.006932,0.004169,0.005477,0.007011
200,0.02273,0.004085,0.01626,0.019,0.02309,0.02063
300,0.07879,0.01186,0.04738,0.03613,0.04705,0.03271
400,0.1766,0.02958,0.05492,0.05709,0.06227,0.06529
500,0.3549,0.0706,0.1381,0.136,0.1434,0.1327
600,0.7477,0.1845,0.2442,0.2502,0.3162,0.2816
700,1.199,0.3533,0.4502,0.4073,0.3823,0.3672
800,1.704,0.5456,0.6634,0.5765,0.615,0.5624
900,2.433,0.7541,0.8771,0.8612,0.8049,0.8001
1000,3.192,1.058,1.123,1.227,1.187,1.171
1100,4.525,1.461,1.502,1.584,1.565,1.497
1200,5.704,1.914,1.985,1.911,2.013,1.961
1300,7.416,2.445,2.502,2.543,2.504,2.546
1400,9.339,2.954,3.193,3.11,3.14,3.117
1500,11.45,3.663,3.827,3.841,3.846,3.748
1600,13.93,4.531,4.637,4.591,4.634,4.62
1700,16.73,5.386,5.585,5.62,5.539,5.535
1800,19.65,6.451,6.603,6.518,6.607,6.64
1900,23.31,7.571,7.796,7.708,7.762,7.673
2000,26.96,8.863,9.081,8.963,8.992,9.046
2100,31.01,10.18,10.38,10.44,10.34,10.37
2200,36.33,11.75,11.93,11.9,11.9,12.01
2300,41.46,13.39,13.55,13.59,13.6,13.56
2400,47.27,15.35,15.46,15.39,15.45,15.38
2500,53.05,17.21,17.36,17.37,17.51,17.38
2600,59.43,19.3,19.58,19.61,19.71,19.55
2700,66.92,21.47,21.86,21.87,21.87,21.98
2800,74.67,23.98,24.38,24.34,24.35,24.28
2900,82.94,26.67,27.02,26.97,27.05,27
3000,91.71,29.53,29.91,29.86,29.89,29.93
