Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(collapse),OpenMP(single loop)
100,0.002756,0.0004563,0.006598,0.009666,0.009596,0.009044
200,0.02354,0.003578,0.026,0.02398,0.02356,0.0213
300,0.07617,0.01247,0.04738,0.03955,0.04056,0.03249
400,0.1756,0.0277,0.05598,0.06913,0.06707,0.06354
500,0.4322,0.07239,0.1342,0.1448,0.137,0.1409
600,0.6684,0.175,0.2527,0.2537,0.227,0.2957
700,1.048,0.3209,0.4793,0.3761,0.4531,0.3787
800,1.737,0.5456,0.5707,0.6074,0.6534,0.5855
900,2.423,0.7865,0.808,0.8599,0.8631,0.799
1000,3.418,1.105,1.117,1.213,1.103,1.164
1100,4.51,1.517,1.491,1.539,1.54,1.539
1200,5.888,1.886,2.047,1.911,2.009,1.994
1300,7.472,2.459,2.498,2.556,2.506,2.5
1400,9.139,3.038,3.153,3.155,3.132,3.07
1500,11.44,3.746,3.841,3.813,3.826,3.82
1600,13.93,4.491,4.627,4.763,4.651,4.597
1700,16.81,5.427,5.58,5.525,5.525,5.62
1800,19.63,6.445,6.724,6.573,6.619,6.559
1900,23.43,7.587,7.797,7.772,7.727,7.695
2000,27.26,8.824,8.997,8.99,9.029,9.118
2100,31.63,10.14,10.43,10.45,10.49,10.41
2200,35.9,11.66,12,11.95,11.99,11.97
2300,41.53,13.44,13.59,13.63,13.63,13.82
2400,47.36,15.2,15.45,15.43,15.43,15.53
2500,53.04,17.07,17.39,17.49,17.45,17.47
2600,60.06,19.25,19.57,19.59,19.55,19.56
2700,66.89,21.43,21.87,21.83,21.89,22.2
2800,74.2,23.8,24.3,24.29,24.3,24.41
2900,82.92,26.53,26.95,26.99,27,27.03
3000,91.46,29.61,29.81,30.1,29.92,29.82
