Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(collapse),OpenMP(single loop)
100,0.003125,0.0004608,0.01258,0.01079,0.01024,0.00843
200,0.0222,0.003625,0.01746,0.01618,0.01721,0.01544
300,0.07399,0.01183,0.03841,0.03473,0.03014,0.03017
400,0.1758,0.02797,0.06021,0.06298,0.07887,0.09513
500,0.4295,0.07991,0.1017,0.129,0.1224,0.1183
600,0.6066,0.2155,0.2637,0.2385,0.2345,0.2389
700,1.145,0.3313,0.3851,0.3836,0.477,0.4544
800,1.785,0.5138,0.5791,0.5864,0.5782,0.6025
900,2.498,0.7552,0.8094,0.8105,0.9422,0.8136
1000,3.38,1.156,1.189,1.112,1.117,1.107
1100,4.359,1.501,1.592,1.487,1.484,1.593
1200,5.809,1.953,2.059,1.981,1.909,2.018
1300,7.481,2.428,2.516,2.49,2.56,2.442
1400,9.211,3.05,3.027,3.174,3.13,3.1
1500,11.62,3.748,3.932,3.761,3.821,3.858
1600,13.7,4.432,4.633,4.642,4.642,4.639
1700,16.82,5.4,5.561,5.514,5.519,5.522
1800,19.84,6.431,6.64,6.634,6.556,6.567
1900,23.25,7.504,7.719,7.776,7.651,7.766
2000,27.3,8.766,8.93,9.103,9.081,9.026
2100,31.65,10.13,10.42,10.39,10.34,10.43
2200,35.82,11.67,11.99,12.02,12.04,12.01
2300,41.6,13.4,13.59,13.7,13.53,13.68
2400,47.24,15.15,15.47,15.4,15.42,15.45
2500,53.21,17.18,17.47,17.38,17.36,17.51
2600,59.75,19.36,19.73,19.63,19.56,19.7
2700,66.86,21.5,21.83,21.85,21.86,21.93
2800,74.82,24.14,24.47,24.28,24.49,24.39
2900,82.72,26.57,27,26.98,26.91,27.29
3000,91.4,29.3,29.85,29.76,29.83,29.88
