Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(collapse),OpenMP(single loop)
100,0.002797,0.0004563,0.008498,0.007185,0.007835,0.008219
200,0.02217,0.003591,0.01612,0.01534,0.01571,0.01632
300,0.07412,0.01236,0.03132,0.0423,0.02888,0.03163
400,0.1801,0.02984,0.06996,0.05264,0.05721,0.05587
500,0.3462,0.07146,0.1202,0.1144,0.1421,0.1392
600,0.6829,0.1748,0.2292,0.2327,0.3073,0.2412
700,1.039,0.3345,0.3713,0.4788,0.3727,0.3652
800,1.586,0.5498,0.5735,0.671,0.5753,0.6458
900,2.485,0.8065,0.9141,0.8433,0.8389,0.8009
1000,3.439,1.107,1.117,1.182,1.19,1.204
1100,4.419,1.463,1.496,1.546,1.603,1.493
1200,5.756,1.917,2.008,1.915,2.007,1.963
1300,7.214,2.467,2.513,2.55,2.465,2.58
1400,9.284,2.998,3.126,3.1,3.173,3.069
1500,11.53,3.721,3.962,3.899,3.816,3.784
1600,13.94,4.484,4.706,4.6,4.655,4.593
1700,16.68,5.398,5.553,5.554,5.601,5.515
1800,19.77,6.464,6.601,6.562,6.636,6.62
1900,22.68,7.604,7.786,7.696,7.79,7.714
2000,27.29,8.866,9.023,9.035,9.022,8.993
2100,31.4,10.27,10.57,10.42,10.41,10.41
2200,36.29,11.67,12.05,11.9,11.91,11.98
2300,40.87,13.42,13.59,13.66,13.58,13.6
2400,47.26,15.18,15.43,15.55,15.4,15.44
2500,53.09,17.15,17.44,17.39,17.41,17.43
2600,59.71,19.3,19.57,19.59,19.56,19.71
2700,66.64,21.62,21.86,21.97,21.96,21.96
2800,74.37,24.12,24.32,24.62,24.6,24.43
2900,83.14,26.6,26.97,26.97,27.01,26.95
3000,91.23,29.42,29.95,29.8,29.86,29.83
