Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(collapse),OpenMP(single loop)
100,0.003432,0.0005653,0.007151,0.006531,0.006454,0.006841
200,0.02776,0.004432,0.01724,0.01712,0.01763,0.01933
300,0.09325,0.01497,0.0368,0.03821,0.03782,0.04165
400,0.222,0.03476,0.0674,0.07448,0.08008,0.07003
500,0.4378,0.1009,0.2357,0.1846,0.1269,0.1049
600,0.6878,0.1965,0.2565,0.2481,0.2515,0.257
700,1.183,0.3753,0.4244,0.4231,0.5105,0.4938
800,1.785,0.5417,0.7841,0.722,0.6088,0.7225
900,2.474,0.7979,0.878,0.9801,0.9882,0.8769
1000,3.497,1.236,1.205,1.206,1.197,1.347
1100,4.575,1.607,1.642,1.674,1.717,1.563
1200,5.832,2.08,2.115,2.063,2.206,2.06
1300,7.606,2.56,2.846,2.645,2.819,2.652
1400,9.457,3.188,3.316,3.397,3.236,3.389
1500,11.71,4.036,4.172,4.18,4.016,4.094
1600,14.07,4.767,4.889,4.822,4.908,4.864
1700,16.73,5.749,5.882,5.886,5.802,5.871
1800,20.2,6.748,6.972,7.073,6.921,6.914
1900,23.56,7.692,7.838,7.692,7.811,7.709
2000,27.49,8.971,9.203,9.02,9.124,9.149
2100,31.98,10.28,10.72,10.56,10.42,10.57
2200,36.65,11.69,11.91,11.91,12.05,11.92
2300,41.61,13.31,13.73,13.55,13.74,13.62
2400,47.32,15.19,15.47,15.46,15.51,15.49
2500,53.63,17.11,17.46,17.5,17.4,17.42
2600,60.62,20.31,20.6,20.56,20.65,20.67
2700,67.57,22.98,23.34,23.17,23.06,22.82
2800,74.74,24.11,24.47,25.54,25.86,26.28
2900,83.43,28.41,27.24,27.05,27.04,27.06
3000,92.66,29.49,29.9,29.88,30,29.89
